178.251.200.141	rueducommerce.com
178.251.200.141	rueducommerce.fr
180.92.162.60	quickheal.com
180.92.162.60	www.quickheal.com
184.28.54.13	www.sony.fr
185.6.168.66	kayak.fr
187.33.4.179	chkrootkit.org
188.165.126.152	safer-networking.org
188.165.126.152	www.safer-networking.org
188.165.237.64	bplc.fr
188.165.237.64	www.bplc.fr
188.40.238.250	eicar.org
188.93.154.150	suzuki.be
192.146.101.197	lexmark.fr
192.150.16.117	adobe.com
192.150.16.118	macromedia.com
192.169.68.162	phoenixlabs.org
192.193.103.222	citibank.com
192.193.103.222	citigroup.com
192.193.103.222	www.citigroup.com
192.193.218.177	www.citi.com
192.193.219.58	www.citigroup.com
192.210.64.117	pinnaclesys.com
192.210.64.117	roxio.com
192.210.64.117	roxio.fr
192.210.64.117	www.pinnaclesys.com
192.210.64.117	www.roxio.com
192.210.64.117	www.roxio.fr
192.210.65.70	corel.com
192.234.128.11	duke-energy.com
192.234.128.11	www.duke-energy.com
192.237.248.102	klipsch.com
192.237.248.102	www.klipsch.com
192.240.0.104	fujitsu.com
192.28.34.26	3m.com
192.28.34.26	www.3m.com
192.43.161.43	aladdin.com
192.43.161.43	ealaddin.com
192.43.161.43	www3.safenet-inc.com
192.43.161.44	esafe.com
192.43.161.45	aladdin.fr
192.43.161.95	www.safenet-inc.fr
193.0.238.161	packardbell.com
193.0.238.161	www.packardbell.com
193.103.195.135	munichre.com
193.103.195.135	www.munichre.com
193.104.215.58	adobe.fr
193.104.215.61	www.adobe.com
193.108.75.62	hsbc.com
193.110.109.55	f-secure.com
193.110.109.55	f-secure.fr
193.128.202.160	ebrd.com
193.128.202.160	www.ebrd.com
193.12.93.139	tele2.com
193.12.93.139	www.tele2.com
193.135.2.33	bis.org
193.135.2.33	www.bis.org
193.178.154.48	societegenerale.fr
193.193.172.27	unicreditgroup.eu
193.203.234.216	www.intesasanpaolo.com
193.222.87.173	swatch.com
193.227.214.38	intesasanpaolo.com
193.24.237.182	drweb-online.com
193.244.74.86	kbc.be
193.252.122.103	www.orange.fr
193.252.148.60	orange.fr
193.26.29.10	ingdirect.fr
193.27.194.177	www.cdiscount.com
193.44.77.214	electrolux.fr
193.5.110.18	ubs.com
193.5.111.13	www.ubs.com
193.88.186.176	nordea.com
194.114.32.12	volkswagen.fr
194.114.32.12	vw.com
194.127.81.31	www.allianz.com
194.149.233.188	www.unicreditgroup.eu
194.150.80.93	cortalconsors.fr
194.150.80.93	www.cortalconsors.fr
194.156.202.140	vinci.com
194.165.43.150	virginmega.fr
194.165.43.150	www.virginmega.fr
194.186.25.25	rbc.ru
194.186.25.25	www.rbc.ru
194.4.208.20	www.fdj.fr
194.4.209.254	fdjeux.com
194.42.46.187	hannover-re.com
194.42.46.187	www.hannover-re.com
194.51.169.137	bplg.com
194.51.187.18	accorhotels.com
194.51.187.20	sofitel.com
194.51.187.21	novotel.com
194.51.187.22	mercure.com
194.51.187.23	etaphotel.com
194.51.187.23	ibis.com
194.51.187.241	accor.com
194.51.215.101	sofinco.fr
194.51.217.71	cmb.fr
194.51.217.72	fortuneo.fr
194.54.14.129	sberbank.ru
194.54.14.129	sbrf.ru
195.149.208.209	bancosantander.es
195.154.219.233	houra.fr
195.154.219.233	www.houra.fr
195.154.98.118	generali.fr
195.154.98.118	www.generali.fr
195.154.98.65	renault.fr
195.154.98.65	www.renault.fr
195.167.195.41	www8.hp.com
195.167.195.41	www.td.com
195.167.195.56	www.gofurther.com
195.167.195.57	www.kingston.com
195.171.192.217	sophos.fr
195.177.80.27	www.toyota.be
195.177.80.6	toyota.fr
195.177.80.6	www.toyota.fr
195.177.80.80	toyota.be
195.200.101.3	vente-privee.com
195.200.228.150	ratp.fr
195.225.133.163	wacom-europe.com
195.225.205.81	promotions-fr.com
195.228.45.67	virusbuster.hu
195.232.248.148	vodafone.com
195.242.160.13	binck.fr
195.24.247.129	www.laredoute.fr
195.24.247.157	conforama.fr
195.24.247.158	ppr.com
195.24.247.21	laredoute.fr
195.25.232.194	macif.fr
195.25.232.194	www.macif.fr
195.253.0.82	leica-camera.com
195.27.252.18	www.kaspersky.com
195.28.226.133	zurich.ch
195.28.229.187	zurich.com
195.3.215.47	varta.com
195.35.110.253	rhodia.com
195.35.64.88	ing.be
195.42.251.40	fnac.com
195.42.251.40	www.fnac.com
195.42.251.51	fnacmusic.com
195.46.203.79	valeo.com
195.46.203.79	www.valeo.com
195.46.211.45	carrefour.fr
195.53.169.57	telefonica.com
195.53.213.16	iberia.com
195.53.213.16	www.iberia.com
195.60.68.81	axis.com
195.6.201.2	interflora.fr
195.6.201.2	www.interflora.fr
